time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
1,-1520.0,972,200.0,0,256,,,,,,,,,,
2,-1520.0,1009,200.0,0,512,-0.007061433256603777,5456.5615234375,0.0,0.3,-5.555152893066406e-05,0.0003,0.00086107315,10,-2.5646588683128355,2450.098388671875
3,-1540.0,1011,200.0,0,768,-0.0031595770735293625,7000.08017578125,0.0,0.3,0.0013704299926757812,0.0003,0.00046539423,20,-2.5632224559783934,3412.640625
4,-1414.0,1011,200.0,1,1024,-0.002504865499213338,4532.712438964843,0.0,0.3,0.0036568641662597656,0.0003,0.00022767112,30,-2.5624149322509764,2025.783447265625
5,-1418.3333333333333,1010,200.0,1,1280,-0.003640206344425678,3580.2470092773438,0.0,0.3,0.00027245283126831055,0.0003,0.00041618524,40,-2.561431348323822,1720.7874755859375
6,-1427.142857142857,1018,200.0,1,1536,-0.004015155462548136,5379.366845703125,0.0,0.3,0.0004564523696899414,0.0003,0.0005484612,50,-2.5594075322151184,2753.95654296875
7,-1407.5,1021,200.0,1,1792,-0.003078676923178136,3860.427380371094,0.0,0.3,0.000249326229095459,0.0003,0.00034380378,60,-2.5571650147438048,2037.1888427734375
8,-1359.0,1024,200.0,1,2048,-0.0034731021150946617,3757.579553222656,0.0,0.3,-0.00025081634521484375,0.0003,0.0004264845,70,-2.5557268261909485,1899.156982421875
9,-1333.6363636363637,1028,200.0,2,2304,-0.005145748541690409,4797.176245117187,0.0,0.3,-0.0001245737075805664,0.0003,0.00083490764,80,-2.5511460661888123,2316.3662109375
10,-1340.0,1029,200.0,2,2560,-0.004714907170273364,3116.3293701171874,0.0,0.3,-0.0003058910369873047,0.0003,0.0009127599,90,-2.5476853489875793,1531.1136474609375
11,-1329.2857142857142,1032,200.0,2,2816,-0.003157742274925113,5694.908520507813,0.0,0.3,-0.0001125335693359375,0.0003,0.0005113338,100,-2.5442812204360963,2936.7783203125
12,-1317.3333333333333,1035,200.0,2,3072,-0.0027442081365734337,3440.4032958984376,0.0,0.3,-8.237361907958984e-05,0.0003,0.00054836506,110,-2.541173207759857,1819.6083984375
13,-1317.5,1037,200.0,3,3328,-0.0035723753040656447,3910.504736328125,0.0,0.3,2.4378299713134766e-05,0.0003,0.0007429591,120,-2.5277289390563964,1980.3597412109375
14,-1294.1176470588234,1038,200.0,3,3584,-0.005419580056332052,3151.2186889648438,0.0,0.3,-5.507469177246094e-05,0.0003,0.0009494163,130,-2.5217570900917052,1661.1348876953125
15,-1257.8947368421052,1039,200.0,3,3840,-0.0024709746241569517,2772.8140869140625,0.0,0.3,5.7220458984375e-06,0.0003,0.000560889,140,-2.5168784856796265,1377.0609130859375
16,-1231.0,1041,200.0,3,4096,-0.0034938738448545338,2102.966583251953,0.0,0.3,-1.9431114196777344e-05,0.0003,0.0007848183,150,-2.5162872672080994,1052.7794189453125
17,-1241.904761904762,1042,200.0,4,4352,-0.0021491593797691166,3859.6189086914064,0.0,0.3,-3.7550926208496094e-05,0.0003,0.0007455889,160,-2.5135313272476196,2127.516845703125
18,-1261.7391304347825,1042,200.0,4,4608,-0.0062421117676422,5512.5350341796875,0.0,0.3,-2.384185791015625e-05,0.0003,0.0012618254,170,-2.4970308899879456,2718.543701171875
19,-1236.25,1040,200.0,4,4864,-0.0028114125598222017,3942.0018676757813,0.0,0.3,2.4557113647460938e-05,0.0003,0.0006535263,180,-2.4794536232948303,1878.2880859375
20,-1225.6,1039,200.0,4,5120,-0.004466854385100305,3395.867565917969,0.0,0.3,-7.05718994140625e-05,0.0003,0.0016115988,190,-2.4857579469680786,1824.27392578125
21,-1218.8461538461538,1038,200.0,5,5376,-0.007192975468933582,2956.4659057617187,0.0,0.3,-8.344650268554688e-05,0.0003,0.002833376,200,-2.46123229265213,1549.2308349609375
22,-1212.142857142857,1037,200.0,5,5632,-0.008597968053072691,3103.063623046875,0.0,0.3,-2.777576446533203e-05,0.0003,0.0031549444,210,-2.4440502285957337,1573.745361328125
23,-1222.4137931034484,1036,200.0,5,5888,3.1096534803509714e-05,4118.627978515625,0.0,0.3,-4.482269287109375e-05,0.0003,0.00087066647,220,-2.4257296562194823,1945.3558349609375
24,-1213.0,1035,200.0,5,6144,-0.004720600787550211,3977.7648803710936,0.0,0.3,4.780292510986328e-05,0.0003,0.0015467477,230,-2.387639021873474,2079.650390625
