time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss
1,-718.0,980,0,200.0,256,,,,,,,,,,
2,-789.5,1001,0,200.0,512,1779.4730895996095,-0.0018216371536254883,732.7241821289062,-0.007618765300139785,0.3,0.0013291962,0.0,0.0003,10,-2.5645010113716125
3,-783.6666666666666,1001,0,200.0,768,2383.808068847656,0.0020560622215270996,1188.483642578125,-0.002408332994673401,0.3,0.00052518165,0.0,0.0003,20,-2.5623555541038514
4,-645.6,1009,1,200.0,1024,1789.1222778320312,0.005945682525634766,814.8250122070312,-0.0029529788065701724,0.3,0.0003972191,0.0,0.0003,30,-2.561651182174683
5,-628.1666666666666,1020,1,200.0,1280,1731.9357971191407,0.0013172030448913574,851.2686767578125,-0.0037543732672929765,0.3,0.0006919415,0.0,0.0003,40,-2.561430811882019
6,-640.8571428571429,1024,1,200.0,1536,2239.983020019531,0.0062482357025146484,1197.2757568359375,-0.0028411337407305837,0.3,0.0003459046,0.0,0.0003,50,-2.561623787879944
7,-629.125,1028,1,200.0,1792,1133.7679870605468,0.005538582801818848,581.0052490234375,-0.005522821878548712,0.3,0.00067405426,0.0,0.0003,60,-2.560825502872467
8,-581.0,1035,1,200.0,2048,1579.6760314941407,0.0014513134956359863,854.2256469726562,-0.009590140590444208,0.3,0.0023751308,0.0,0.0003,70,-2.556850492954254
9,-544.0909090909091,1039,2,200.0,2304,2938.34296875,0.0007246136665344238,1310.22900390625,-0.005902781384065747,0.3,0.001995955,0.0,0.0003,80,-2.5500388145446777
10,-536.0,1041,2,200.0,2560,2605.5176635742187,-0.00014472007751464844,1172.8028564453125,-0.010218057059682905,0.3,0.004048992,0.0,0.0003,90,-2.5445462822914124
