rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-640.0,1126,1,0,256,200.0,,,,,,,,,,
-715.0,1109,2,0,512,200.0,0.0,-0.0027399063110351562,0.3,311.9621887207031,-0.008920005708932876,10,0.0017880343,818.2804626464844,0.0003,-2.56435170173645
-706.6666666666666,666,3,1,768,200.0,0.0,0.001357436180114746,0.3,510.2862548828125,-0.0033431187272071838,20,0.0008030492,1065.2868194580078,0.0003,-2.561346101760864
-560.0,731,4,1,1024,200.0,0.0,0.0009778738021850586,0.3,394.74261474609375,-0.008330344897694885,30,0.0031615112,841.2396697998047,0.0003,-2.559216558933258
-556.6666666666666,776,5,1,1280,200.0,0.0,0.0002816915512084961,0.3,271.9701232910156,-0.0015671077882871032,40,0.0011680266,497.7225006103516,0.0003,-2.553227889537811
-581.4285714285714,817,6,1,1536,200.0,0.0,-7.331371307373047e-05,0.3,264.09490966796875,-0.003565843775868416,50,0.00051342347,526.0768127441406,0.0003,-2.549983060359955
-527.5,830,7,2,1792,200.0,0.0,0.002227604389190674,0.3,554.1431884765625,-0.011493766633793711,60,0.0046390956,903.7865661621094,0.0003,-2.547700846195221
-472.0,854,8,2,2048,200.0,0.0,0.020817220211029053,0.3,511.9235534667969,-0.000932196737267077,70,0.0009753001,1354.523001098633,0.0003,-2.543770205974579
-434.54545454545456,876,9,2,2304,200.0,0.0,0.22542881965637207,0.3,151.10906982421875,-0.0018893397180363535,80,0.0003884451,413.52342834472654,0.0003,-2.5391824722290037
-435.0,890,10,2,2560,200.0,0.0,0.0688132643699646,0.3,746.5656127929688,-0.0017923367908224464,90,0.00024250709,1581.8657165527343,0.0003,-2.5394196033477785
-415.7142857142857,903,11,3,2816,200.0,0.0,0.03786873817443848,0.3,951.91845703125,-0.002438993169926107,100,0.00034298562,1958.703466796875,0.0003,-2.5425943970680236
-422.0,917,12,3,3072,200.0,0.0,-0.023486971855163574,0.3,188.93772888183594,0.0002714538830332458,110,0.000102878315,498.71814727783203,0.0003,-2.539072239398956
-416.25,928,13,3,3328,200.0,0.0,-0.07430124282836914,0.3,471.185546875,-0.0012034088606014848,120,0.00013679871,1261.1042755126953,0.0003,-2.5406957626342774
-425.88235294117646,938,14,3,3584,200.0,0.0,0.12349581718444824,0.3,627.7047729492188,-0.004432828375138342,130,0.0006103567,1022.4242370605468,0.0003,-2.541255223751068
-397.36842105263156,949,15,4,3840,200.0,0.0,0.06384903192520142,0.3,548.5935668945312,-0.002569422614760697,140,0.0005331037,1176.4134979248047,0.0003,-2.5341536521911623
-388.0,956,16,4,4096,200.0,0.0,-0.12318074703216553,0.3,626.1134643554688,-0.002366251009516418,150,0.00041032466,1052.530665588379,0.0003,-2.5342277884483337
-377.6190476190476,959,17,4,4352,200.0,0.002734375,0.002027451992034912,0.3,739.732421875,-0.012964208517223597,160,0.010558473,992.520524597168,0.0003,-2.526723039150238
-405.2173913043478,966,18,4,4608,200.0,0.0,0.08935576677322388,0.3,732.1368408203125,-0.003588344110175967,170,0.005697608,1593.858447265625,0.0003,-2.497381663322449
-409.1666666666667,970,19,5,4864,200.0,0.0,0.0005069971084594727,0.3,325.58111572265625,-0.0025201525073498487,180,0.0008844633,648.3083389282226,0.0003,-2.4822528839111326
-399.6,977,20,5,5120,200.0,0.0,0.047321200370788574,0.3,865.3690795898438,-0.0020666233263909816,190,0.0004072974,1675.238214111328,0.0003,-2.467105579376221
-398.84615384615387,982,21,5,5376,200.0,0.0,0.13245153427124023,0.3,184.2637176513672,-0.00599846534896642,200,0.0032005573,464.2815628051758,0.0003,-2.4429221510887147
