rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-740.0,936,1,0,256,200.0,,,,,,,,,,
-815.0,969,2,0,512,200.0,0.0,-0.0025026798248291016,0.3,277.1009216308594,-0.011412673769518733,10,0.0020280296,736.9104125976562,0.0003,-2.5642839431762696
-806.6666666666666,972,3,0,768,200.0,0.0,0.0019376277923583984,0.3,630.6592407226562,-0.006072690384462476,20,0.0012776214,1276.2478271484374,0.0003,-2.560466265678406
-708.0,991,4,1,1024,200.0,0.0,0.005458533763885498,0.3,457.2628173828125,-0.003520068060606718,30,0.0006329573,986.0140014648438,0.0003,-2.5589447379112245
-735.0,976,5,1,1280,200.0,0.0,-0.0011730194091796875,0.3,314.054931640625,-0.0033690687734633682,40,0.00063849124,555.5475128173828,0.0003,-2.5576698660850523
-744.2857142857143,981,6,1,1536,200.0,0.0,0.00040352344512939453,0.3,409.2771911621094,-0.00505470777861774,50,0.0010815514,824.2784851074218,0.0003,-2.5504030585289
-645.0,992,7,1,1792,200.0,0.0,0.0013372302055358887,0.3,724.481201171875,-0.011238973354920745,60,0.005299125,1397.5048065185547,0.0003,-2.546075367927551
-632.0,999,8,2,2048,200.0,0.0,0.020309031009674072,0.3,507.1622314453125,-0.001475952984765172,70,0.0008089964,969.6528289794921,0.0003,-2.538014256954193
-638.1818181818181,1000,9,2,2304,200.0,0.0,0.05196118354797363,0.3,516.3901977539062,-0.0027923878747969865,80,0.00047492096,1063.6727752685547,0.0003,-2.5389267444610595
-623.3333333333334,1006,10,2,2560,200.0,0.0,0.0555192232131958,0.3,512.3795776367188,-0.0051175139378756285,90,0.0015278899,851.3086029052735,0.0003,-2.5327154755592347
-602.8571428571429,1012,11,2,2816,200.0,0.0,0.00998610258102417,0.3,627.8917846679688,-0.007300799340009689,100,0.0024486976,1049.2904571533204,0.0003,-2.5193423867225646
-606.0,1015,12,3,3072,200.0,0.0,0.005110263824462891,0.3,149.83517456054688,-0.009873081184923648,110,0.0055719046,287.382795715332,0.0003,-2.5027731895446776
-575.625,1018,13,3,3328,200.0,0.0,-0.04562819004058838,0.3,186.95758056640625,-0.005386583227664232,120,0.0029455982,422.5150543212891,0.0003,-2.460396432876587
-577.6470588235294,1023,14,3,3584,200.0,0.0,0.009532034397125244,0.3,697.6553344726562,-0.006615346786566079,130,0.0039773816,1373.2783752441405,0.0003,-2.4638285040855408
-547.3684210526316,1023,15,3,3840,200.0,0.0,0.0010849833488464355,0.3,538.9219360351562,-0.004961100220680237,140,0.0028582537,1100.365530395508,0.0003,-2.457939827442169
-523.5,1027,16,3,4096,200.0,0.0,0.06112313270568848,0.3,771.8409423828125,-0.012495548860169948,150,0.0072225216,1285.1969665527345,0.0003,-2.4370053887367247
-520.4761904761905,1026,17,4,4352,200.0,0.0,0.0032663345336914062,0.3,579.8165283203125,-0.007695895526558161,160,0.005250782,1419.0648681640625,0.0003,-2.385088789463043
