time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
0,256,1,200.0,-740.0,1103,,,,,,,,,,
0,512,2,200.0,-815.0,1052,107.9215087890625,-0.012537253461778164,-0.004174947738647461,0.0003,325.3155067443848,-2.5641762256622314,0.0,10,0.3,0.0023867288
0,768,3,200.0,-823.3333333333334,1042,248.2755584716797,-0.0077538406010717155,0.0015285611152648926,0.0003,526.5201019287109,-2.559300482273102,0.0,20,0.3,0.0019073121
0,1024,4,200.0,-692.0,1027,109.32286071777344,-0.005705541302450001,-0.004114866256713867,0.0003,255.74802322387694,-2.5584700465202332,0.0,30,0.3,0.00151011
1,1280,5,200.0,-678.3333333333334,1025,301.4923095703125,-0.007783204689621926,0.001922607421875,0.0003,531.9419075012207,-2.5606483459472655,0.0,40,0.3,0.0025216215
1,1536,6,200.0,-692.8571428571429,1027,262.04486083984375,-0.002562064537778497,0.006912529468536377,0.0003,622.8847854614257,-2.558437633514404,0.0,50,0.3,0.0011606338
1,1792,7,200.0,-681.25,1026,126.14771270751953,-0.004607055196538567,0.015181958675384521,0.0003,234.9233428955078,-2.5524208784103393,0.0,60,0.3,0.0009463411
1,2048,8,200.0,-656.0,1024,312.94012451171875,-0.011440753960050643,0.0014938116073608398,0.0003,610.2922943115234,-2.5405686020851137,0.0,70,0.3,0.008290718
2,2304,9,200.0,-647.2727272727273,1026,50.85441207885742,-0.021693141432479024,0.002579033374786377,0.0003,175.66945762634276,-2.4998747229576113,0.01015625,80,0.3,0.017289553
2,2560,10,200.0,-641.6666666666666,1025,41.050228118896484,-0.019667794555425645,0.0018880963325500488,0.0003,75.28647956848144,-2.4250843286514283,0.052734375,90,0.3,0.02806466
2,2816,11,200.0,-590.0,1027,581.4909057617188,-0.006360377743840217,0.008335709571838379,0.0003,1246.1186920166015,-2.381161057949066,0.0,100,0.3,0.005030798
2,3072,12,200.0,-579.3333333333334,1026,111.8916015625,-0.006885820627212524,0.02006387710571289,0.0003,210.84057006835937,-2.3878435850143434,0.0,110,0.3,0.0025785174
