time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss
1,-818.0,1045,0,200.0,256,,,,,,,,,,
2,-890.5,1052,0,200.0,512,1730.9371337890625,-0.0013420581817626953,716.6023559570312,-0.009637013380415737,0.3,0.0015297863,0.0,0.0003,10,-2.564449870586395
3,-884.3333333333334,1037,0,200.0,768,3025.5028686523438,0.0019149184226989746,1518.3590087890625,-0.004954042565077543,0.3,0.0008992199,0.0,0.0003,20,-2.561670458316803
4,-779.2,1037,0,200.0,1024,1791.7581665039063,0.005432605743408203,817.2069702148438,-0.0028368140570819377,0.3,0.0005061156,0.0,0.0003,30,-2.5603967666625977
5,-753.5,1028,1,200.0,1280,1283.5523742675782,0.0016460418701171875,678.593994140625,-0.0027266777819022537,0.3,0.0003459088,0.0,0.0003,40,-2.5592069268226623
6,-770.8571428571429,1029,1,200.0,1536,2389.166748046875,0.0007370710372924805,1398.0814208984375,-0.0036525791976600884,0.3,0.0005418337,0.0,0.0003,50,-2.5567258834838866
7,-755.5,1034,1,200.0,1792,1254.750469970703,0.0012836456298828125,642.7312622070312,-0.005001526442356408,0.3,0.0008816309,0.0,0.0003,60,-2.5545083045959474
8,-724.1,1025,1,200.0,2048,1640.02744140625,0.0009209513664245605,889.5159301757812,-0.004278382146731019,0.3,0.00092846854,0.0,0.0003,70,-2.549762856960297
9,-693.2727272727273,1030,2,200.0,2304,1875.4863159179688,0.001580655574798584,929.6799926757812,-0.003644200833514333,0.3,0.0008161657,0.0,0.0003,80,-2.549419808387756
10,-695.9166666666666,1032,2,200.0,2560,1385.0459747314453,-0.0015197992324829102,812.7835693359375,-0.005014599778223783,0.3,0.0015835725,0.0,0.0003,90,-2.5476780772209167
11,-678.7142857142857,1033,2,200.0,2816,1607.1572204589843,-0.00020205974578857422,853.326171875,-0.0020670625381171703,0.3,0.0005322902,0.0,0.0003,100,-2.5479445695877074
12,-670.0666666666667,1032,2,200.0,3072,1228.1696228027345,-2.658367156982422e-05,514.3516235351562,-0.006503055058419705,0.3,0.0016872745,0.0,0.0003,110,-2.54585223197937
13,-669.8125,1034,3,200.0,3328,1444.5588256835938,6.783008575439453e-05,711.7606201171875,-0.005568971834145486,0.3,0.0019257753,0.0,0.0003,120,-2.539427602291107
14,-642.3529411764706,1032,3,200.0,3584,1237.8071899414062,0.00011146068572998047,645.8229370117188,-0.006383531191386282,0.3,0.0023414148,0.0,0.0003,130,-2.5194388151168825
15,-624.9473684210526,1030,3,200.0,3840,2764.2864196777346,6.377696990966797e-06,1558.958740234375,-0.008448146004229783,0.3,0.005221774,0.0,0.0003,140,-2.5101098895072935
16,-609.55,1030,3,200.0,4096,933.585302734375,-0.00013554096221923828,395.4797668457031,-0.01352355103008449,0.3,0.009968785,0.00625,0.0003,150,-2.4944387555122374
17,-615.6190476190476,1031,4,200.0,4352,1689.6011169433593,9.566545486450195e-05,1041.1387939453125,0.001673161331564188,0.3,0.0018634656,0.0,0.0003,160,-2.5185332536697387
18,-630.4347826086956,1031,4,200.0,4608,2519.4013061523438,9.721517562866211e-05,1164.9930419921875,-0.0010431825648993254,0.3,0.00015652599,0.0,0.0003,170,-2.5257389664649965
