time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
1,1066,0,200.0,256,-740.0,,,,,,,,,,
2,1034,0,200.0,512,-815.0,460.5587326049805,0.0003,0.0022498744,161.55062866210938,-2.5642138004302977,-0.01216439981944859,0.0,-0.0033850669860839844,10,0.3
3,1013,0,200.0,768,-823.3333333333334,767.4441589355469,0.0003,0.0015796451,370.6095275878906,-2.559805679321289,-0.006914136186242104,0.0,0.0016906261444091797,20,0.3
4,1016,1,200.0,1024,-714.0,758.3057098388672,0.0003,0.00044339383,362.1591796875,-2.5587409496307374,-0.0030926840379834177,0.0,0.0055730342864990234,30,0.3
5,1007,1,200.0,1280,-736.6666666666666,308.2805114746094,0.0003,0.0008236673,166.60299682617188,-2.5579885125160216,-0.004364684736356139,0.0,0.0014209747314453125,40,0.3
6,1015,1,200.0,1536,-745.7142857142857,504.09286041259764,0.0003,0.0018305299,222.18809509277344,-2.549647879600525,-0.006079300655983388,0.0,0.0002416372299194336,50,0.3
7,1024,1,200.0,1792,-731.25,323.36012268066406,0.0003,0.0043704323,167.62962341308594,-2.5385698199272158,-0.011290874931728468,0.0,0.0010250210762023926,60,0.3
8,1023,2,200.0,2048,-709.0,707.9613159179687,0.0003,0.006314723,498.7257995605469,-2.521536135673523,-0.011532254610210657,0.0,0.0011702775955200195,70,0.3
9,1028,2,200.0,2304,-701.8181818181819,300.1260360717773,0.0003,0.0048698783,111.4964370727539,-2.4964343070983888,-0.005059370491653681,0.0,0.00016611814498901367,80,0.3
10,1033,2,200.0,2560,-624.1666666666666,561.9986892700196,0.0003,0.012379568,247.97828674316406,-2.4792876839637756,-0.01744815045967698,0.0265625,0.0030193328857421875,90,0.3
11,1036,2,200.0,2816,-589.2857142857143,1297.4171783447266,0.0003,0.0043341257,787.2763061523438,-2.44185733795166,-0.005770356673747301,0.0,0.017069876194000244,100,0.3
12,1040,2,200.0,3072,-577.3333333333334,648.6203140258789,0.0003,0.001441332,410.52545166015625,-2.4377713918685915,-0.001880831504240632,0.0,0.16753166913986206,110,0.3
13,1043,3,200.0,3328,-578.75,600.9199699401855,0.0003,0.0014749018,240.77236938476562,-2.451155090332031,-0.0033797475043684244,0.0,0.0959852933883667,120,0.3
14,1044,3,200.0,3584,-577.6470588235294,308.49510498046874,0.0003,0.0016526696,136.8964385986328,-2.4425875902175904,-0.0043467777781188485,0.0,-0.012034416198730469,130,0.3
15,1041,3,200.0,3840,-576.3157894736842,155.31926078796386,0.0003,0.006980804,40.41950225830078,-2.459443986415863,-0.008410510327666997,0.00390625,-0.14141321182250977,140,0.3
16,1040,3,200.0,4096,-575.0,199.20397338867187,0.0003,0.0073506245,106.9044418334961,-2.4620088934898376,-0.0051692953333258625,0.015625,0.006020605564117432,150,0.3
17,1042,4,200.0,4352,-572.8571428571429,152.43259544372557,0.0003,0.005624353,70.33403015136719,-2.4400310635566713,-0.005716634239070118,0.0,-9.047985076904297e-05,160,0.3
18,1042,4,200.0,4608,-579.5652173913044,269.3787467956543,0.0003,0.0057059554,138.02333068847656,-2.4583386421203612,-0.00801826948300004,0.0,-0.00018835067749023438,170,0.3
19,1045,4,200.0,4864,-570.4166666666666,156.45376777648926,0.0003,0.008566004,93.98304748535156,-2.4499528050422668,-0.007673072896432131,0.0,0.0018080472946166992,180,0.3
20,1046,4,200.0,5120,-568.0,585.8585159301758,0.0003,0.04135372,303.85516357421875,-2.413641166687012,-0.02748119568932452,0.106640625,0.0014463067054748535,190,0.3
21,1046,5,200.0,5376,-568.8461538461538,84.11336574554443,0.0003,0.02451314,45.124053955078125,-2.370091986656189,-0.01645027061458677,0.06015625,-0.003715991973876953,200,0.3
22,1046,5,200.0,5632,-559.6428571428571,196.98586349487306,0.0003,0.004471116,89.48501586914062,-2.4097530245780945,-0.00613717851229012,0.00234375,-0.0041561126708984375,210,0.3
23,1047,5,200.0,5888,-570.6896551724138,489.06506271362304,0.0003,0.0014126115,290.8381042480469,-2.3839854836463927,-0.003588721086271107,0.0,0.05121809244155884,220,0.3
24,1048,5,200.0,6144,-559.0,786.8841247558594,0.0003,0.00071871886,261.2559814453125,-2.362106204032898,-0.002783272950910032,0.0,0.059060871601104736,230,0.3
25,1049,6,200.0,6400,-542.8125,136.73441963195802,0.0003,0.00034682383,31.481916427612305,-2.388145053386688,-0.0013960705138742924,0.0,-1.8811616897583008,240,0.3
26,1051,6,200.0,6656,-529.6969696969697,534.7746368408203,0.0003,0.01458185,341.551025390625,-2.417195165157318,-0.018082153890281914,0.007421875,-0.04875671863555908,250,0.3
27,1049,6,200.0,6912,-535.5882352941177,1144.5538757324218,0.0003,0.0067241723,541.8729248046875,-2.4827648758888246,-0.012432457902468741,0.000390625,0.002102792263031006,260,0.3
28,1049,6,200.0,7168,-538.8571428571429,232.3026222229004,0.0003,0.007631384,126.21607208251953,-2.3886573791503904,-0.012046109361108392,0.003515625,0.005678355693817139,270,0.3
29,1048,7,200.0,7424,-539.1891891891892,176.7751194000244,0.0003,0.0013084575,68.48976135253906,-2.4050591468811033,-0.002665515663102269,0.0,0.005291104316711426,280,0.3
30,1049,7,200.0,7680,-540.5263157894736,601.3596496582031,0.0003,0.009952952,417.7488098144531,-2.4324273824691773,-0.013567740283906459,0.00703125,0.020019054412841797,290,0.3
31,1050,7,200.0,7936,-535.8974358974359,85.7178295135498,0.0003,0.011517003,41.12052536010742,-2.4287400364875795,-0.01239990433678031,0.015234375,-0.004464983940124512,300,0.3
32,1050,7,200.0,8192,-534.25,607.2440414428711,0.0003,0.003676403,401.6222839355469,-2.4721417307853697,0.0011158927576616407,0.0,0.06992471218109131,310,0.3
33,1050,8,200.0,8448,-516.4285714285714,937.2098266601563,0.0003,0.0004944552,329.7757263183594,-2.452779197692871,-0.0025066561298444866,0.0,0.10408365726470947,320,0.3
34,1049,8,200.0,8704,-505.8139534883721,473.2501953125,0.0003,0.002785769,273.4668273925781,-2.4745141744613646,-0.00648904429981485,0.0015625,0.10460036993026733,330,0.3
35,1049,8,200.0,8960,-507.95454545454544,815.653076171875,0.0003,0.0010718936,411.3089599609375,-2.4734612584114073,-0.0010045479983091354,0.0,0.24255001544952393,340,0.3
36,1050,8,200.0,9216,-507.60869565217394,486.2912292480469,0.0003,0.00027437555,154.72047424316406,-2.475563979148865,-0.0008597970940172672,0.0,0.21999317407608032,350,0.3
