time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
0,256,1,200.0,-740.0,1188,,,,,,,,,,
0,512,2,200.0,-815.0,1095,107.9215087890625,-0.012537253461778164,-0.004174947738647461,0.0003,325.3155067443848,-2.5641762256622314,0.0,10,0.3,0.0023867288
0,768,3,200.0,-823.3333333333334,1092,248.2755584716797,-0.0077538406010717155,0.0015285611152648926,0.0003,526.5201019287109,-2.559300482273102,0.0,20,0.3,0.0019073121
0,1024,4,200.0,-692.0,1058,109.32286071777344,-0.005705541302450001,-0.004114866256713867,0.0003,255.74802322387694,-2.5584700465202332,0.0,30,0.3,0.00151011
1,1280,5,200.0,-678.3333333333334,1036,301.4923095703125,-0.007783204689621926,0.001922607421875,0.0003,531.9419075012207,-2.5606483459472655,0.0,40,0.3,0.0025216215
1,1536,6,200.0,-692.8571428571429,1035,262.04486083984375,-0.002562064537778497,0.006912529468536377,0.0003,622.8847854614257,-2.558437633514404,0.0,50,0.3,0.0011606338
1,1792,7,200.0,-681.25,1043,126.14771270751953,-0.004607055196538567,0.015181958675384521,0.0003,234.9233428955078,-2.5524208784103393,0.0,60,0.3,0.0009463411
1,2048,8,200.0,-656.0,1039,312.94012451171875,-0.011440753960050643,0.0014938116073608398,0.0003,610.2922943115234,-2.5405686020851137,0.0,70,0.3,0.008290718
2,2304,9,200.0,-647.2727272727273,1038,50.85441207885742,-0.021693141432479024,0.002579033374786377,0.0003,175.66945762634276,-2.4998747229576113,0.01015625,80,0.3,0.017289553
2,2560,10,200.0,-641.6666666666666,1040,41.050228118896484,-0.019667794555425645,0.0018880963325500488,0.0003,75.28647956848144,-2.4250843286514283,0.052734375,90,0.3,0.02806466
2,2816,11,200.0,-590.0,1042,581.4909057617188,-0.006360377743840217,0.008335709571838379,0.0003,1246.1186920166015,-2.381161057949066,0.0,100,0.3,0.005030798
2,3072,12,200.0,-579.3333333333334,1042,111.8916015625,-0.006885820627212524,0.02006387710571289,0.0003,210.84057006835937,-2.3878435850143434,0.0,110,0.3,0.0025785174
3,3328,13,200.0,-576.875,1044,233.1802520751953,-0.004437753197271377,0.06065136194229126,0.0003,511.5996864318848,-2.3783535242080687,0.0,120,0.3,0.0023134705
3,3584,14,200.0,-555.2941176470588,1040,98.47107696533203,-0.0009078330360352993,0.058250248432159424,0.0003,396.74244079589846,-2.365292024612427,0.0,130,0.3,0.0010201181
3,3840,15,200.0,-536.8421052631579,1041,72.3027572631836,-0.01636964185163379,-0.0023822784423828125,0.0003,455.1248008728027,-2.3909983158111574,0.03515625,140,0.3,0.01758299
3,4096,16,200.0,-515.5,1045,340.365478515625,-0.005721707921475172,-0.056298136711120605,0.0003,531.7709884643555,-2.4337249517440798,0.0,150,0.3,0.0025456587
4,4352,17,200.0,-517.1428571428571,1048,447.6917419433594,-0.00651929834857583,0.16121923923492432,0.0003,745.830192565918,-2.4566845297813416,0.0,160,0.3,0.0039557246
4,4608,18,200.0,-509.5652173913044,1047,143.6242218017578,-0.005297734006308019,0.11419779062271118,0.0003,460.47221145629885,-2.4582914471626283,0.0,170,0.3,0.0014591869
4,4864,19,200.0,-501.25,1049,221.45811462402344,-0.006925544515252113,0.10054188966751099,0.0003,425.29236755371096,-2.4824942111968995,0.00078125,180,0.3,0.005656202
4,5120,20,200.0,-491.2,1047,253.14730834960938,-0.00776729746721685,0.14322638511657715,0.0003,474.4801612854004,-2.519093906879425,0.0,190,0.3,0.003796915
5,5376,21,200.0,-481.53846153846155,1044,155.63462829589844,-0.0031119952676817776,0.09372657537460327,0.0003,451.4359619140625,-2.528946137428284,0.0,200,0.3,0.0010847554
5,5632,22,200.0,-472.85714285714283,1043,408.0404968261719,-0.0042635302525013685,-0.0107954740524292,0.0003,851.1851470947265,-2.5414825320243835,0.0,210,0.3,0.001840008
5,5888,23,200.0,-468.9655172413793,1043,349.08331298828125,-0.0028186240931972863,0.015644490718841553,0.0003,541.2675491333008,-2.5347349762916567,0.0,220,0.3,0.00023891218
5,6144,24,200.0,-463.3333333333333,1043,232.69961547851562,-0.009102663677185773,0.10464054346084595,0.0003,498.7154769897461,-2.544236695766449,0.0046875,230,0.3,0.006244333
6,6400,25,200.0,-460.0,1042,528.5306396484375,-0.0012070810422301292,-0.00040137767791748047,0.0003,859.5499969482422,-2.5383126735687256,0.0,240,0.3,0.001904458
6,6656,26,200.0,-461.2121212121212,1044,422.447021484375,-0.0028381502139382063,-0.23462986946105957,0.0003,649.24541015625,-2.534006178379059,0.0,250,0.3,0.0005466691
6,6912,27,200.0,-462.94117647058823,1043,221.51242065429688,-0.004275890067219734,0.0030017495155334473,0.0003,648.9880889892578,-2.5401480555534364,0.0,260,0.3,0.002580974
6,7168,28,200.0,-469.42857142857144,1045,254.85354614257812,-0.007684245100244879,0.0480191707611084,0.0003,517.5362686157226,-2.5318324327468873,0.0,270,0.3,0.006016797
7,7424,29,200.0,-479.72972972972974,1044,94.61329650878906,-0.009988131560385227,0.002520442008972168,0.0003,167.43098182678222,-2.5128000497817995,0.000390625,280,0.3,0.0059258384
7,7680,30,200.0,-473.1578947368421,1044,74.37870788574219,-0.01347258232999593,0.04506325721740723,0.0003,170.51502685546876,-2.5304665088653566,0.008984375,290,0.3,0.004855698
7,7936,31,200.0,-467.6923076923077,1043,266.3434753417969,-0.006571471272036433,0.004522204399108887,0.0003,460.59081573486327,-2.529122793674469,0.007421875,300,0.3,0.0034997463
7,8192,32,200.0,-469.25,1044,119.1380844116211,-0.015555105998646467,-0.01991879940032959,0.0003,425.77949409484864,-2.532861959934235,0.037890625,310,0.3,0.021301612
