time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
0,256,1,200.0,-640.0,1102,,,,,,,,,,
0,512,2,200.0,-715.0,1097,145.46578979492188,-0.009941468224860727,-0.003938436508178711,0.0003,395.76161880493163,-2.5642516016960144,0.0,10,0.3,0.002140459
0,768,3,200.0,-706.6666666666666,1074,212.88787841796875,-0.004621847369708121,0.0006874799728393555,0.0003,495.4513198852539,-2.560354769229889,0.0,20,0.3,0.0012865665
0,1024,4,200.0,-560.0,1064,293.798828125,-0.009723682608455419,0.0015448331832885742,0.0003,569.0630752563477,-2.5566433548927305,0.0,30,0.3,0.0044575837
1,1280,5,200.0,-535.0,1043,130.9257354736328,-0.003945703315548599,0.002092599868774414,0.0003,209.2049118041992,-2.548109436035156,0.0,40,0.3,0.0017003426
1,1536,6,200.0,-542.8571428571429,1039,152.09605407714844,-0.006276348303072154,0.005289912223815918,0.0003,298.9152778625488,-2.539582407474518,0.0,50,0.3,0.0021579645
1,1792,7,200.0,-520.0,1043,74.4157485961914,-0.024600057397037745,0.0015655159950256348,0.0003,147.36433334350585,-2.5072605848312377,0.0546875,60,0.3,0.023061242
1,2048,8,200.0,-498.0,1047,404.2427978515625,-0.011595306498929859,0.0022820234298706055,0.0003,519.6808319091797,-2.4561293840408327,0.0,70,0.3,0.0110615175
2,2304,9,200.0,-497.27272727272725,1048,68.85189056396484,-0.008387652901001274,-0.0014400482177734375,0.0003,177.73458557128907,-2.398555099964142,0.0,80,0.3,0.007079863
2,2560,10,200.0,-485.8333333333333,1052,90.31741333007812,-0.011378718027845024,-0.0021584033966064453,0.0003,204.92200813293456,-2.3772202491760255,0.000390625,90,0.3,0.0076351874
2,2816,11,200.0,-470.0,1047,403.89593505859375,-0.008487939764745534,-0.0012841224670410156,0.0003,627.4305145263672,-2.4154524922370912,0.0,100,0.3,0.0069881007
2,3072,12,200.0,-458.0,1048,438.6965637207031,-0.012285997183062137,0.0012292265892028809,0.0003,604.1128723144532,-2.390760362148285,0.000390625,110,0.3,0.009691932
3,3328,13,200.0,-441.25,1049,388.65728759765625,-0.0038393882336094976,0.002015054225921631,0.0003,572.8801391601562,-2.3991164207458495,0.0,120,0.3,0.002267536
3,3584,14,200.0,-447.6470588235294,1045,224.49807739257812,-0.012065320508554578,0.011312305927276611,0.0003,523.9203369140625,-2.40927597284317,0.0,130,0.3,0.0050408007
3,3840,15,200.0,-428.42105263157896,1038,378.5653076171875,-0.0022811704548075795,0.05224871635437012,0.0003,620.4779052734375,-2.4494231939315796,0.0,140,0.3,0.0026013108
3,4096,16,200.0,-413.0,1037,374.4042663574219,-0.0032491823425516487,0.04358607530593872,0.0003,500.57727127075196,-2.4697009563446044,0.0,150,0.3,0.0009573363
4,4352,17,200.0,-422.3809523809524,1037,200.20526123046875,3.872346132993698e-05,0.16447770595550537,0.0003,536.6722106933594,-2.4886438608169557,0.0,160,0.3,9.089918e-05
4,4608,18,200.0,-450.4347826086956,1038,307.0954895019531,-0.003446551226079464,0.012159645557403564,0.0003,820.9195434570313,-2.47065292596817,0.0,170,0.3,0.0005872331
4,4864,19,200.0,-439.1666666666667,1033,133.2925262451172,-0.0005860105506144464,-0.19333243370056152,0.0003,369.73202056884764,-2.474359321594238,0.0,180,0.3,8.762465e-05
4,5120,20,200.0,-429.2,1033,773.380126953125,-0.0025647226488217712,0.002876579761505127,0.0003,1230.423403930664,-2.4649531841278076,0.0,190,0.3,0.00037465896
5,5376,21,200.0,-415.7692307692308,1032,75.38597869873047,-0.009435290680266916,-0.005664348602294922,0.0003,190.7895851135254,-2.467313861846924,0.0,200,0.3,0.009387215
5,5632,22,200.0,-402.85714285714283,1031,265.2315368652344,-0.0030663262121379377,0.004201412200927734,0.0003,911.6579345703125,-2.435919094085693,0.0,210,0.3,0.005422471
5,5888,23,200.0,-397.2413793103448,1034,289.9278869628906,-0.0035071627702564,-0.0033957958221435547,0.0003,621.8997573852539,-2.40176842212677,0.0,220,0.3,0.0011167834
5,6144,24,200.0,-397.6666666666667,1034,225.70762634277344,-0.004348014527931809,0.006860673427581787,0.0003,616.9942733764649,-2.396731638908386,0.0,230,0.3,0.0007494157
6,6400,25,200.0,-390.9375,1035,156.87599182128906,-0.0008845694595947861,0.005031466484069824,0.0003,538.7808242797852,-2.4361781597137453,0.0,240,0.3,0.00017966819
6,6656,26,200.0,-392.42424242424244,1034,154.544921875,-0.00809899573214352,0.008746445178985596,0.0003,533.8537544250488,-2.432879316806793,0.0,250,0.3,0.0022303925
6,6912,27,200.0,-395.0,1034,160.1929931640625,-0.0024496365571394564,-0.056218862533569336,0.0003,293.7784088134766,-2.4297163486480713,0.0,260,0.3,0.0018395726
6,7168,28,200.0,-395.14285714285717,1035,284.3821105957031,-0.005042183026671409,-0.02024543285369873,0.0003,658.3420608520507,-2.4146820545196532,0.0,270,0.3,0.0040021865
7,7424,29,200.0,-393.5135135135135,1035,192.91082763671875,-0.005779757630079985,0.0005657672882080078,0.0003,606.197233581543,-2.34313063621521,0.001171875,280,0.3,0.0102927275
7,7680,30,200.0,-394.2105263157895,1035,108.11344146728516,-0.00565115655772388,0.0031848549842834473,0.0003,215.06785202026367,-2.3025102734565737,0.0,290,0.3,0.004401058
7,7936,31,200.0,-390.0,1035,102.56151580810547,-0.010695359297096729,-0.00669252872467041,0.0003,275.6187408447266,-2.3225922346115113,0.005859375,300,0.3,0.010920703
7,8192,32,200.0,-394.75,1035,203.37466430664062,-0.006686284695751965,0.00584101676940918,0.0003,478.9634719848633,-2.31880304813385,0.003125,310,0.3,0.0075677326
8,8448,33,200.0,-393.57142857142856,1035,128.77847290039062,-0.002865052781999111,0.0009821653366088867,0.0003,217.8409080505371,-2.326976180076599,0.0,320,0.3,0.0010119958
8,8704,34,200.0,-395.5813953488372,1035,290.4373474121094,-0.00979671166278422,0.008460164070129395,0.0003,495.41677780151366,-2.367285931110382,0.0,330,0.3,0.00554007
8,8960,35,200.0,-385.45454545454544,1035,401.06536865234375,-0.007901305332779884,0.026248395442962646,0.0003,730.2988265991211,-2.359382712841034,0.0,340,0.3,0.00497145
8,9216,36,200.0,-377.39130434782606,1036,381.2528991699219,-0.007355461968109012,-0.04051053524017334,0.0003,826.1418395996094,-2.3414881348609926,0.0,350,0.3,0.0028236336
9,9472,37,200.0,-376.59574468085106,1036,569.56591796875,-0.00021460519637912513,0.09907257556915283,0.0003,846.0810592651367,-2.274885094165802,0.0,360,0.3,0.00016625645
9,9728,38,200.0,-378.9583333333333,1037,403.22784423828125,-0.0008490774780511856,0.11537468433380127,0.0003,626.7490509033203,-2.2729756355285646,0.0,370,0.3,0.00019212253
