time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
1,-1420.0,1088,200.0,0,256,,,,,,,,,,
2,-1470.0,1061,200.0,0,512,-0.0055880362400785085,5280.507641601563,0.0,0.3,-0.0007899999618530273,0.0003,0.00073338114,10,-2.56469464302063,2364.865234375
3,-1273.3333333333333,1046,200.0,0,768,-0.0030160191003233195,5085.23505859375,0.0,0.3,0.0022212862968444824,0.0003,0.0004513522,20,-2.5634836077690126,2517.666015625
4,-1222.0,1042,200.0,0,1024,-0.0036445770645514132,3461.5641845703126,0.0,0.3,0.0012990832328796387,0.0003,0.00045257597,30,-2.5629202246665956,1435.41064453125
5,-1230.0,1025,200.0,1,1280,-0.001834371662698686,2958.81328125,0.0,0.3,0.0007104873657226562,0.0003,0.00027034432,40,-2.561275589466095,1587.42919921875
6,-1254.2857142857142,1023,200.0,1,1536,-0.0014136955549474805,5943.23955078125,0.0,0.3,0.0014998912811279297,0.0003,0.00010923343,50,-2.560794270038605,3071.81005859375
7,-1243.75,1018,200.0,1,1792,-0.004330301051959395,3328.2562255859375,0.0,0.3,0.00027942657470703125,0.0003,0.00041314703,60,-2.559764862060547,1724.7540283203125
8,-1226.0,1019,200.0,2,2048,-0.0036960049998015164,3525.0526733398438,0.0,0.3,-0.00020492076873779297,0.0003,0.00055134716,70,-2.5585964918136597,1736.2236328125
9,-1206.3636363636363,1022,200.0,2,2304,-0.002461706334725022,4071.5070678710936,0.0,0.3,-3.314018249511719e-05,0.0003,0.00027421257,80,-2.5566649794578553,1995.7373046875
10,-1154.1666666666667,1025,200.0,2,2560,-0.0034010103903710843,2653.6481323242188,0.0,0.3,-0.0002568960189819336,0.0003,0.0005108069,90,-2.554871141910553,1129.1346435546875
11,-1129.2857142857142,1024,200.0,2,2816,-0.0075099268462508915,4372.8101806640625,0.0,0.3,-8.118152618408203e-05,0.0003,0.0013135129,100,-2.5545492291450502,2475.51904296875
12,-1134.6666666666667,1025,200.0,2,3072,-0.0032498238841071727,3275.0347900390625,0.0,0.3,7.68899917602539e-06,0.0003,0.0008358024,110,-2.551617383956909,1810.29541015625
13,-1135.625,1030,200.0,3,3328,-0.001526698749512434,5915.9854736328125,0.0,0.3,-5.543231964111328e-05,0.0003,0.0001778875,120,-2.5478496313095094,2745.645263671875
14,-1147.0588235294117,1027,200.0,3,3584,-0.0020380923058837654,3772.8660888671875,0.0,0.3,-5.125999450683594e-06,0.0003,0.00015798071,130,-2.547500419616699,1946.2659912109375
15,-1117.3684210526317,1025,200.0,3,3840,-0.005308825802057981,2874.3663330078125,0.0,0.3,-8.022785186767578e-05,0.0003,0.0008762027,140,-2.543149971961975,1406.369873046875
16,-1108.0,1023,200.0,4,4096,-0.004563810594845563,2672.789196777344,0.0,0.3,7.092952728271484e-06,0.0003,0.0010038924,150,-2.5402340292930603,1189.613525390625
17,-1119.047619047619,1019,200.0,4,4352,-0.004032376920804381,3625.8170776367188,0.0,0.3,-4.4345855712890625e-05,0.0003,0.0009934523,160,-2.531891441345215,1778.1376953125
18,-1139.1304347826087,1018,200.0,4,4608,-0.002352752909064293,4734.992431640625,0.0,0.3,2.5510787963867188e-05,0.0003,0.0004699768,170,-2.525542652606964,2415.57861328125
19,-1131.6666666666667,1017,200.0,4,4864,-0.0014886457938700914,3378.8574096679686,0.0,0.3,-3.886222839355469e-05,0.0003,0.0003107579,180,-2.5170262813568116,1587.567626953125
20,-1132.4,1018,200.0,5,5120,-0.002322828001342714,4165.2703125,0.0,0.3,1.1920928955078125e-07,0.0003,0.00034849555,190,-2.5173920154571534,2188.032470703125
21,-1135.3846153846155,1017,200.0,5,5376,-0.003908310597762465,3466.3111206054687,0.0,0.3,-2.002716064453125e-05,0.0003,0.00084189954,200,-2.5140177726745607,1824.073486328125
22,-1117.857142857143,1016,200.0,5,5632,-0.013001938653178512,4061.4238403320314,0.0,0.3,-2.9325485229492188e-05,0.0003,0.0046232156,210,-2.49953852891922,1636.258056640625
23,-1131.0344827586207,1018,200.0,5,5888,-0.00414749844931066,2799.6205078125,0.0,0.3,-8.463859558105469e-06,0.0003,0.0028392319,220,-2.4533957481384276,1316.1629638671875
24,-1120.0,1020,200.0,6,6144,-0.0014867213176330552,4324.4654541015625,0.0,0.3,-1.1801719665527344e-05,0.0003,0.00053239195,230,-2.438909447193146,2025.0211181640625
25,-1102.8125,1023,200.0,6,6400,-0.009337472077459098,2964.608203125,0.0,0.3,-8.404254913330078e-05,0.0003,0.0029533887,240,-2.4337400913238527,1483.63916015625
26,-1098.1818181818182,1026,200.0,6,6656,-0.01192936864681542,2847.8818115234376,0.0,0.3,-7.271766662597656e-06,0.0003,0.014049994,250,-2.3511526465415953,1673.8333740234375
27,-1102.0588235294117,1029,200.0,6,6912,-0.013898063590750099,2725.139501953125,0.0,0.3,-2.2172927856445312e-05,0.0003,0.0124953985,260,-2.2512967944145204,1387.2584228515625
