rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-740.0,1052,1,0,256,200.0,,,,,,,,,,
-815.0,1032,2,0,512,200.0,0.0,-0.0025026798248291016,0.3,277.1009216308594,-0.011412673769518733,10,0.0020280296,736.9104125976562,0.0003,-2.5642839431762696
-806.6666666666666,980,3,0,768,200.0,0.0,0.0019376277923583984,0.3,630.6592407226562,-0.006072690384462476,20,0.0012776214,1276.2478271484374,0.0003,-2.560466265678406
-708.0,982,4,1,1024,200.0,0.0,0.005458533763885498,0.3,457.2628173828125,-0.003520068060606718,30,0.0006329573,986.0140014648438,0.0003,-2.5589447379112245
-735.0,982,5,1,1280,200.0,0.0,-0.0011730194091796875,0.3,314.054931640625,-0.0033690687734633682,40,0.00063849124,555.5475128173828,0.0003,-2.5576698660850523
-744.2857142857143,993,6,1,1536,200.0,0.0,0.00040352344512939453,0.3,409.2771911621094,-0.00505470777861774,50,0.0010815514,824.2784851074218,0.0003,-2.5504030585289
-645.0,1002,7,1,1792,200.0,0.0,0.0013372302055358887,0.3,724.481201171875,-0.011238973354920745,60,0.005299125,1397.5048065185547,0.0003,-2.546075367927551
-632.0,1002,8,2,2048,200.0,0.0,0.020309031009674072,0.3,507.1622314453125,-0.001475952984765172,70,0.0008089964,969.6528289794921,0.0003,-2.538014256954193
-638.1818181818181,1008,9,2,2304,200.0,0.0,0.05196118354797363,0.3,516.3901977539062,-0.0027923878747969865,80,0.00047492096,1063.6727752685547,0.0003,-2.5389267444610595
-623.3333333333334,1015,10,2,2560,200.0,0.0,0.0555192232131958,0.3,512.3795776367188,-0.0051175139378756285,90,0.0015278899,851.3086029052735,0.0003,-2.5327154755592347
